"RESERVATION_ID","TRIP_ID","TRIP_DATE","NUM_PERSONS","TRIP_PRICE","OTHER_FEES","CUSTOMER_NUM"
"1600001","40","03/26/2016","2","55","0","101 "
"1600002","21","06/08/2016","2","95","0","101 "
"1600003","28","09/12/2016","1","35","0","103 "
"1600004","26","10/16/2016","4","45","15","104 "
"1600005","39","06/25/2016","5","55","0","105 "
"1600006","32","06/18/2016","1","80","20","106 "
"1600007","22","07/09/2016","8","75","10","107 "
"1600008","28","09/12/2016","2","35","0","108 "
"1600009","38","09/11/2016","2","90","40","109 "
"1600010","2","05/14/2016","3","25","0","102 "
"1600011","3","09/15/2016","3","25","0","102 "
"1600012","1","06/12/2016","4","15","0","115 "
"1600013","8","07/09/2016","1","20","5","116 "
"1600014","12","10/01/2016","2","40","5","119 "
"1600015","10","07/23/2016","1","20","0","120 "
"1600016","11","07/23/2016","6","75","15","121 "
"1600017","39","06/18/2016","3","20","5","122 "
"1600018","38","09/18/2016","4","85","15","126 "
"1600019","25","08/29/2016","2","110","25","124 "
"1600020","28","08/27/2016","2","35","10","124 "
"1600021","32","06/11/2016","3","90","20","112 "
"1600022","21","06/08/2016","1","95","25","119 "
"1600024","38","09/11/2016","1","70","30","121 "
"1600025","38","09/11/2016","2","70","45","125 "
"1600026","12","10/01/2016","2","40","0","126 "
"1600029","4","09/19/2016","4","105","25","120 "
"1600030","15","07/25/2016","6","60","15","104 "
